# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PSMF1	PSMF1	NM_001323409.2	protein_coding	0	1	1	66	0	0	1	0	51	1	0	0	0	1	14
PSMF1	PSMF1	NM_001323410.2	protein_coding	0	1	1	66	0	0	1	0	51	1	0	0	0	1	14
PSMF1	PSMF1	NM_006814.5	protein_coding	0	1	1	66	0	0	1	0	51	1	0	0	0	1	14
PSMF1	PSMF1	NM_178578.3	protein_coding	0	1	1	80	0	0	0	0	66	1	0	0	0	1	14
RAD21L1	RAD21L1	NM_001136566.2	protein_coding	0	2	2	31	0	0	0	0	25	2	0	0	1	1	7
RBCK1	RBCK1	NM_001323956.1	protein_coding	0	0	0	39	1	0	0	4	21	0	0	0	0	0	13
RBCK1	RBCK1	NM_001323958.2	protein_coding	0	0	0	38	1	0	0	4	21	0	0	0	0	0	12
RBCK1	RBCK1	NM_001323960.1	protein_coding	0	1	0	20	0	0	0	4	3	0	0	0	0	1	13
RBCK1	RBCK1	NM_006462.6	protein_coding	0	0	0	38	1	0	0	4	21	0	0	0	0	0	12
RBCK1	RBCK1	NM_031229.4	protein_coding	0	0	0	38	1	0	0	4	21	0	0	0	0	0	12
RBCK1	RBCK1	NR_136659.2		0	0	0	38	0	0	0	4	21	0	1	0	0	0	12
RSPO4	RSPO4	NM_001029871.4	protein_coding	0	0	0	16	0	0	0	7	3	0	0	0	0	0	6
RSPO4	RSPO4	NM_001040007.3	protein_coding	0	0	0	16	0	0	0	7	3	0	0	0	0	0	6
SCRT2	SCRT2	NM_033129.4	protein_coding	0	0	0	11	1	0	0	5	3	0	0	0	0	0	2
SDCBP2	SDCBP2	NM_001199784.1	protein_coding	0	2	1	52	3	0	0	9	38	1	0	0	0	2	2
SDCBP2	SDCBP2	NM_015685.5	protein_coding	0	2	1	43	3	0	0	9	18	1	0	0	0	2	13
SDCBP2	SDCBP2	NM_080489.5	protein_coding	0	2	1	63	3	0	0	9	39	1	0	0	0	2	12
SDCBP2-AS1	SDCBP2-AS1	NR_040047.1		0	0	0	106	0	0	0	8	89	0	5	0	0	0	4
SDCBP2-AS1	SDCBP2-AS1	NR_040048.1		0	0	0	106	0	0	0	8	89	0	5	0	0	0	4
SDCBP2-AS1	SDCBP2-AS1	NR_040049.1		0	0	0	106	0	0	0	8	89	0	5	0	0	0	4
SIRPA	SIRPA	NM_001040022.1	protein_coding	0	2	6	106	3	0	0	7	93	6	0	0	1	2	3
SIRPA	SIRPA	NM_001040023.2	protein_coding	0	2	6	106	4	0	0	6	93	6	0	0	1	2	3
SIRPA	SIRPA	NM_001330728.1	protein_coding	0	2	6	106	3	0	0	7	93	6	0	0	1	2	3
SIRPA	SIRPA	NM_080792.3	protein_coding	0	2	6	106	4	0	0	6	93	6	0	0	1	2	3
SIRPB1	SIRPB1	NM_001083910.3	protein_coding	0	0	2	37	0	0	0	9	22	2	0	0	1	0	6
SIRPB1	SIRPB1	NM_001135844.4	protein_coding	0	0	1	13	0	0	0	0	7	1	0	0	0	0	6
SIRPB1	SIRPB1	NM_001329157.2	protein_coding	0	0	1	13	0	0	0	0	7	1	0	0	0	0	6
SIRPB1	SIRPB1	NM_001330639.1	protein_coding	0	0	1	24	0	0	0	9	14	1	0	0	1	0	1
SIRPB1	SIRPB1	NM_006065.4	protein_coding	0	1	3	35	0	0	0	9	20	3	0	0	1	1	6
SIRPB2	SIRPB2	NM_001122962.2	protein_coding	0	0	1	68	0	0	0	6	42	1	0	0	0	0	20
SIRPB2	SIRPB2	NM_001134836.2	protein_coding	0	0	1	68	0	0	0	6	42	1	0	0	0	0	20
SIRPB3P	SIRPB3P	NR_164369.1		0	0	0	124	0	0	0	9	100	0	2	0	0	0	13
SIRPD	SIRPD	NM_178460.3	protein_coding	0	1	1	64	0	0	0	5	48	1	0	0	0	1	11
SIRPG	SIRPG	NM_001039508.1	protein_coding	0	2	0	54	1	0	0	6	43	0	0	0	0	2	4
SIRPG	SIRPG	NM_018556.4	protein_coding	0	3	2	51	1	0	0	6	40	2	0	0	0	3	4
SIRPG	SIRPG	NM_080816.3	protein_coding	0	2	0	54	1	0	0	6	43	0	0	0	0	2	4
SIRPG-AS1	SIRPG-AS1	NR_110090.1		0	0	0	39	0	0	0	13	15	0	2	0	0	0	9
SLC52A3	SLC52A3	NM_001370085.1	protein_coding	0	4	0	64	2	1	1	9	44	0	0	0	0	3	8
SLC52A3	SLC52A3	NM_001370086.1	protein_coding	0	5	0	64	2	2	4	9	41	0	0	0	0	3	8
SLC52A3	SLC52A3	NM_033409.4	protein_coding	0	4	0	45	2	1	1	9	22	0	0	0	0	3	11
SNPH	SNPH	NM_001318234.2	protein_coding	0	1	0	80	7	0	0	26	43	0	0	0	0	1	4
SNPH	SNPH	NM_014723.4	protein_coding	0	1	0	80	7	0	0	26	43	0	0	0	0	1	4
SOX12	SOX12	NM_006943.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SRXN1	SRXN1	NM_080725.3	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
TBC1D20	TBC1D20	NM_144628.4	protein_coding	0	0	0	39	4	0	0	3	29	0	0	0	0	0	3
TBC1D20	TBC1D20	NR_111901.2		0	0	0	39	0	0	0	3	31	0	2	0	0	0	3
TCF15	TCF15	NM_004609.3	protein_coding	0	0	0	10	0	0	0	7	2	0	0	0	0	0	1
TMEM74B	TMEM74B	NM_001304748.1	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
TMEM74B	TMEM74B	NM_001304749.2	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	1
TMEM74B	TMEM74B	NM_018354.2	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
TRIB3	TRIB3	NM_001301188.1	protein_coding	0	2	0	56	0	0	0	16	11	0	0	0	0	2	29
TRIB3	TRIB3	NM_001301190.1	protein_coding	0	2	0	56	0	0	0	16	11	0	0	0	0	2	29
TRIB3	TRIB3	NM_001301193.1	protein_coding	0	2	0	56	0	0	0	16	11	0	0	0	0	2	29
TRIB3	TRIB3	NM_001301196.1	protein_coding	0	2	0	56	0	0	0	16	11	0	0	0	0	2	29
TRIB3	TRIB3	NM_001301201.1	protein_coding	0	2	0	56	0	0	0	16	11	0	0	0	0	2	29
TRIB3	TRIB3	NM_021158.4	protein_coding	0	2	0	58	0	0	2	16	11	0	0	0	0	2	29
ZCCHC3	ZCCHC3	NM_033089.7	protein_coding	0	1	0	16	0	0	0	13	0	0	0	0	0	1	3
